"","GRN","COAL","LAB","ID","beta","type","type2"
"1",0,1,0.4,3281585,0.4,"COAL.LAB.GRN","COAL.LAB.GRN"
"2",0.666666666666667,1,0,3378767,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"3",0.666666666666667,1,0,3395061,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"4",0,0.5,1,3718640,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"5",0.266666666666667,1,0,3832909,0.266666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"6",0.714285714285714,0,1,4773141,0.714285714285714,"LAB.GRN.COAL","LAB.GRN.COAL"
"7",0.142857142857143,0,1,4817504,0.142857142857143,"LAB.GRN.COAL","LAB.GRN.COAL"
"8",0,0.75,1,4916675,0.75,"LAB.COAL.GRN","LAB.COAL.GRN"
"9",0.5,0,1,4950690,0.5,"LAB.GRN.COAL","LAB.GRN.COAL"
"10",0,0.333333333333333,1,5810090,0.333333333333333,"LAB.COAL.GRN","LAB.COAL.GRN"
"11",0,0.25,1,6889637,0.25,"LAB.COAL.GRN","LAB.COAL.GRN"
"12",0,1,0.142857142857143,7839734,0.142857142857143,"COAL.LAB.GRN","COAL.LAB.GRN"
"13",0.8,0,1,8125977,0.8,"LAB.GRN.COAL","LAB.GRN.COAL"
"14",0.6,0,1,8295748,0.6,"LAB.GRN.COAL","LAB.GRN.COAL"
"15",0,1,0.333333333333333,8296051,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"16",0,1,0.545454545454545,8497548,0.545454545454545,"COAL.LAB.GRN","COAL.LAB.GRN"
"17",0,1,0.181818181818182,9622928,0.181818181818182,"COAL.LAB.GRN","COAL.LAB.GRN"
"18",0,0.3,1,3300635,0.3,"LAB.COAL.GRN","LAB.COAL.GRN"
"19",1,0,0.6,3885362,0.6,"GRN.LAB.COAL","GRN.LAB.COAL"
"20",0.571428571428571,0,1,4267803,0.571428571428571,"LAB.GRN.COAL","LAB.GRN.COAL"
"21",0.285714285714286,1,0,4504067,0.285714285714286,"COAL.GRN.LAB","COAL.GRN.LAB"
"22",0.529411764705882,0,1,4603325,0.529411764705882,"LAB.GRN.COAL","LAB.GRN.COAL"
"23",0,1,0.8,5234043,0.8,"COAL.LAB.GRN","COAL.LAB.GRN"
"24",0,0.1,1,5529528,0.1,"LAB.COAL.GRN","LAB.COAL.GRN"
"25",1,0,0.8,6407569,0.8,"GRN.LAB.COAL","GRN.LAB.COAL"
"26",0,0.3,1,6910783,0.3,"LAB.COAL.GRN","LAB.COAL.GRN"
"27",1,0,0.222222222222222,7200502,0.222222222222222,"GRN.LAB.COAL","GRN.LAB.COAL"
"28",0,1,0.6,7358593,0.6,"COAL.LAB.GRN","COAL.LAB.GRN"
"29",1,0,0.75,7867739,0.75,"GRN.LAB.COAL","GRN.LAB.COAL"
"30",0.666666666666667,1,0,4160847,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"31",1,0,0.636363636363636,4461914,0.636363636363636,"GRN.LAB.COAL","GRN.LAB.COAL"
"32",0,0.25,1,4876263,0.25,"LAB.COAL.GRN","LAB.COAL.GRN"
"33",0.666666666666667,1,0,4997294,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"34",0.555555555555556,0,1,4998774,0.555555555555556,"LAB.GRN.COAL","LAB.GRN.COAL"
"35",0.2,0,1,6485243,0.2,"LAB.GRN.COAL","LAB.GRN.COAL"
"36",1,0,0.75,6709332,0.75,"GRN.LAB.COAL","GRN.LAB.COAL"
"37",1,0,0.818181818181818,6752837,0.818181818181818,"GRN.LAB.COAL","GRN.LAB.COAL"
"38",0.8,0,1,6850918,0.8,"LAB.GRN.COAL","LAB.GRN.COAL"
"39",0.8,1,0,7139134,0.8,"COAL.GRN.LAB","COAL.GRN.LAB"
"40",1,0.25,0,8080934,0.25,"GRN.COAL.LAB","GRN.COAL.LAB"
"41",0,1,0.25,3505219,0.25,"COAL.LAB.GRN","COAL.LAB.GRN"
"42",1,0,0.714285714285714,3523226,0.714285714285714,"GRN.LAB.COAL","GRN.LAB.COAL"
"43",1,0,0.8,3526385,0.8,"GRN.LAB.COAL","GRN.LAB.COAL"
"44",0,0.7,1,4255585,0.7,"LAB.COAL.GRN","LAB.COAL.GRN"
"45",1,0,0.666666666666667,4460112,0.666666666666667,"GRN.LAB.COAL","GRN.LAB.COAL"
"46",1,0.0714285714285714,0,4521761,0.0714285714285714,"GRN.COAL.LAB","GRN.COAL.LAB"
"47",0.857142857142857,0,1,5228176,0.857142857142857,"LAB.GRN.COAL","LAB.GRN.COAL"
"48",0,1,0.333333333333333,5251595,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"49",0.666666666666667,0,1,6129815,0.666666666666667,"LAB.GRN.COAL","LAB.GRN.COAL"
"50",0,1,0.2,6226899,0.2,"COAL.LAB.GRN","COAL.LAB.GRN"
"51",0,1,0.833333333333333,6231507,0.833333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"52",0.636363636363636,0,1,6465933,0.636363636363636,"LAB.GRN.COAL","LAB.GRN.COAL"
"53",0,1,0.142857142857143,6686856,0.142857142857143,"COAL.LAB.GRN","COAL.LAB.GRN"
"54",0,1,0.266666666666667,6712382,0.266666666666667,"COAL.LAB.GRN","COAL.LAB.GRN"
"55",1,0,0.647058823529412,6725760,0.647058823529412,"GRN.LAB.COAL","GRN.LAB.COAL"
"56",0,1,0.444444444444444,6962432,0.444444444444444,"COAL.LAB.GRN","COAL.LAB.GRN"
"57",0,1,0.222222222222222,7380559,0.222222222222222,"COAL.LAB.GRN","COAL.LAB.GRN"
"58",1,0,0.333333333333333,7497292,0.333333333333333,"GRN.LAB.COAL","GRN.LAB.COAL"
"59",1,0,0.684210526315789,7900603,0.684210526315789,"GRN.LAB.COAL","GRN.LAB.COAL"
"60",1,0,0.818181818181818,8419124,0.818181818181818,"GRN.LAB.COAL","GRN.LAB.COAL"
"61",1,0,0.733333333333333,8574535,0.733333333333333,"GRN.LAB.COAL","GRN.LAB.COAL"
"62",0.777777777777778,0,1,9010205,0.777777777777778,"LAB.GRN.COAL","LAB.GRN.COAL"
