"","District","GRN","GRN LAB","GRN LAB LIB","GRN LIB","GRN LIB LAB","LAB","LAB GRN","LAB GRN LIB","LAB LIB","LAB LIB GRN","LIB","LIB GRN","LIB GRN LAB","LIB LAB","LIB LAB GRN","Total","GRN1","LAB1","LIB1","ONLY1","TOTAL1"
"1","Albury",1119,263,984,44,317,7204,284,5048,288,2162,20535,160,2585,384,3890,46347,2727,14986,27554,28858,45267
"2","Auburn",1580,293,807,62,322,14565,747,3244,411,1276,13022,174,1455,415,1366,43783,3064,20243,16432,29167,39739
"3","Ballina",4602,904,8284,97,667,4593,726,6248,85,644,15227,159,1511,135,1235,47458,14554,12296,18267,24422,45117
"4","Balmain",6323,4907,5658,333,1025,5909,4628,3836,169,733,9043,418,1355,225,1057,46952,18246,15275,12098,21275,45619
"5","Bankstown",1099,216,685,19,167,18782,836,2982,446,1435,11060,86,1304,364,1293,42592,2186,24481,14107,30941,40774
"6","Barwon",1521,159,1970,46,362,7630,280,3262,237,1527,19069,98,1595,257,4097,47711,4058,12936,25116,28220,42110
"7","Bathurst",1786,581,1543,110,563,8087,392,2953,255,1893,22137,381,2579,444,4027,48645,4583,13580,29568,32010,47731
"8","Baulkham Hills",1839,298,1527,76,354,5677,490,3887,215,881,26665,226,2336,395,2969,49266,4094,11150,32591,34181,47835
"9","Bega",1933,873,1939,37,247,7043,565,6980,134,1162,20772,116,1500,238,3113,47669,5029,15884,25739,29748,46652
"10","Blacktown",1585,223,1064,51,318,18219,834,4317,432,1590,11528,124,1278,414,1834,46264,3241,25392,15178,31332,43811
"11","Blue Mountains",2382,1914,3529,63,362,7592,1113,10560,142,1016,14264,94,1328,210,2295,48551,8250,20423,18191,24238,46864
"12","Cabramatta",1482,182,510,60,448,19024,2270,4078,755,2926,10456,109,1265,465,1716,47698,2682,29053,14011,30962,45746
"13","Camden",1424,187,689,45,386,9561,367,2189,195,1070,25453,136,1659,332,2682,48154,2731,13382,30262,36438,46375
"14","Campbelltown",1286,157,997,33,320,12456,500,7689,279,2150,13682,88,1362,270,2280,45134,2793,23074,17682,27424,43549
"15","Canterbury",1901,481,2130,48,329,13422,1041,8556,290,1743,10253,100,1245,278,2194,47636,4889,25052,14070,25576,44011
"16","Castle Hill",1723,219,1101,91,426,4231,361,2415,153,744,29343,291,2362,356,2675,48092,3560,7904,35027,35297,46491
"17","Cessnock",2337,232,1020,32,444,22115,466,3433,254,2537,7696,87,1693,164,1569,45832,4065,28805,11209,32148,44079
"18","Charlestown",2801,1149,1633,45,309,16351,3385,3390,200,868,12712,112,1107,201,1426,48923,5937,24194,15558,31864,45689
"19","Clarence",2083,306,2436,58,278,7539,426,4914,204,1122,20292,154,1250,302,2748,47184,5161,14205,24746,29914,44112
"20","Coffs Harbour",3076,397,2166,114,536,6963,466,3353,161,1031,20222,230,1959,256,2867,45167,6289,11974,25534,30261,43797
"21","Coogee",3176,1847,2972,143,592,6435,1020,6655,172,930,17103,333,1945,300,2101,46322,8730,15212,21782,26714,45724
"22","Cootamundra",782,137,740,32,205,6822,214,3304,313,1870,24651,140,1986,475,4407,47165,1896,12523,31659,32255,46078
"23","Cronulla",2318,601,1485,75,357,5332,461,4628,131,798,26736,224,2001,557,2838,50347,4836,11350,32356,34386,48542
"24","Davidson",2919,458,2631,131,657,3016,407,2322,131,504,29499,428,2414,233,2238,49152,6796,6380,34812,35434,47988
"25","Drummoyne",2638,560,1625,87,429,7606,658,2119,190,710,24062,309,2143,415,2223,46826,5339,11283,29152,34306,45774
"26","Dubbo",1092,127,894,56,278,6342,262,3474,257,1215,23334,228,1549,545,3942,46586,2447,11550,29598,30768,43595
"27","East Hills",1584,240,1228,34,246,10842,567,7324,260,1351,17479,118,1511,311,2485,47462,3332,20344,21904,29905,45580
