case,system,plurality,pr,mixed,rcv
ALB_2005,mixed,0,1,1,0
AUS_1996,rcv,0,0,0,1
AUS_2004,rcv,0,0,0,1
AUS_2007,rcv,0,0,0,1
AUS_2013,rcv,0,0,0,1
AUT_2008,mixed,0,1,1,0
AUT_2013,mixed,0,1,1,0
BEL_2003,pr,0,1,0,0
BELF1999,pr,0,1,0,0
BELW1999,pr,0,1,0,0
BGR_2001,parallel,0,0,1,0
BGR_2014,parallel,0,0,1,0
BLR_2008,,,,,
BRA_2002,pr,0,1,0,0
BRA_2006,pr,0,1,0,0
BRA_2010,pr,0,1,0,0
BRA_2014,pr,0,1,0,0
CAN_1997,fptp,1,0,0,0
CAN_2004,fptp,1,0,0,0
CAN_2008,fptp,1,0,0,0
CAN_2011,fptp,1,0,0,0
CHE_1999,pr,0,1,0,0
CHE_2003,pr,0,1,0,0
CHE_2007,pr,0,1,0,0
CHE_2011,pr,0,1,0,0
CHL_1999,pr,0,1,0,0
CHL_2005,pr,0,1,0,0
CHL_2009,pr,0,1,0,0
CZE_1996,pr,0,1,0,0
CZE_2002,pr,0,1,0,0
CZE_2006,pr,0,1,0,0
CZE_2010,pr,0,1,0,0
CZE_2013,pr,0,1,0,0
DEU_1998,mixed,0,1,1,0
DEU_2005,mixed,0,1,1,0
DEU_2009,mixed,0,1,1,0
DEU_2013,mixed,0,1,1,0
DEU12002,mixed,0,1,1,0
DEU22002,mixed,0,1,1,0
DNK_1998,pr,0,1,0,0
DNK_2001,pr,0,1,0,0
DNK_2007,pr,0,1,0,0
ESP_1996,pr,0,1,0,0
ESP_2000,pr,0,1,0,0
ESP_2004,pr,0,1,0,0
ESP_2008,pr,0,1,0,0
EST_2011,pr,0,1,0,0
FIN_2003,pr,0,1,0,0
FIN_2007,pr,0,1,0,0
FIN_2011,pr,0,1,0,0
FIN_2015,pr,0,1,0,0
FRA_2002,tworound,1,0,0,0
FRA_2007,tworound,1,0,0,0
FRA_2012,tworound,1,0,0,0
GBR_1997,fptp,1,0,0,0
GBR_2005,fptp,1,0,0,0
GBR_2015,fptp,1,0,0,0
GRC_2009,pr,0,1,0,0
GRC_2012,pr,0,1,0,0
HKG_1998,pr,0,1,0,0
HKG_2000,pr,0,1,0,0
HKG_2004,pr,0,1,0,0
HKG_2008,pr,0,1,0,0
HKG_2012,pr,0,1,0,0
HRV_2007,pr,0,1,0,0
HUN_1998,parallel,0,0,1,0
HUN_2002,parallel,0,0,1,0
IRL_2002,stv,0,0,0,1
IRL_2007,stv,0,0,0,1
IRL_2011,stv,0,0,0,1
ISL_1999,pr,0,1,0,0
ISL_2003,pr,0,1,0,0
ISL_2007,pr,0,1,0,0
ISL_2009,pr,0,1,0,0
ISL_2013,pr,0,1,0,0
ISR_1996,pr,0,1,0,0
ISR_2003,pr,0,1,0,0
ISR_2006,pr,0,1,0,0
ISR_2013,pr,0,1,0,0
ITA_2006,pr,0,1,0,0
JPN_1996,parallel,0,0,1,0
JPN_2004,parallel,0,0,1,0
JPN_2007,parallel,0,0,1,0
JPN_2013,parallel,0,0,1,0
KEN_2013,fptp,1,0,0,0
KGZ_2005,tworound,1,0,0,0
KOR_2000,parallel,0,0,1,0
KOR_2004,parallel,0,0,1,0
KOR_2008,parallel,0,0,1,0
KOR_2012,parallel,0,0,1,0
LTU_1997,mixed,,,,
LVA_2010,pr,0,1,0,0
MEX_1997,parallel,0,0,1,0
MEX_2000,parallel,0,0,1,0
MEX_2003,parallel,0,0,1,0
MEX_2006,parallel,0,0,1,0
MEX_2009,parallel,0,0,1,0
MEX_2012,parallel,0,0,1,0
MEX_2015,parallel,0,0,1,0
MNE_2012,pr,0,1,0,0
NLD_1998,pr,0,1,0,0
